show_id,show_name,year,valid_rows,hot,warm,cold,qualified,previous_dashboard_leads,change,method,source
aaos,AAOS,2017,42,2,9,31,11,42,-31,source classification,AAOS 2017 leads.xls
aaos,AAOS,2018,35,6,14,15,20,35,-15,source classification,AAOS 2018 Leads.xlsx
aaos,AAOS,2019,36,7,8,21,15,15,0,source classification,AAOS Raw Spread Sheet.xlsx
aaos,AAOS,2022,14,9,5,0,14,17,-3,source classification,"Eloqua Ready Template-AAOS, MH - 03-28-22.xlsx"
ad-turin,Aerospace & Defense Meetings Turin,2025,22,,,11,11,,,reference workbook combined Hot + Warm; no split supplied,Tradeshow report data.xlsx
analytica,Analytica,2018,80,9,24,47,33,80,-47,source classification,Analytica 2018 Leads .xlsx
analytica,Analytica,2022,51,9,25,17,34,34,0,source show-close rating,Copy of Bal Seal Engineering Europe BV - VisitorData_2022.06.24_10.36.23  PLUS Qualifiying  WWr   28. June 2022.xlsx
analytica,Analytica,2024,,,,,,,,,Tradeshow report data.xlsx
automatica,Automatica,2025,50,,,39,11,0,11,reference workbook combined Hot + Warm; no split supplied,Tradeshow report data.xlsx
biomed-boston,BIOMEDevice Boston / Electronics New England,2017,58,6,12,40,18,58,-40,source classification,ENE 2017 leads.xls
biomed-boston,BIOMEDevice Boston / Electronics New England,2018,27,4,10,13,14,30,-16,source classification,BioMed Boston 2018 Leads  .xlsx
biomed-boston,BIOMEDevice Boston / Electronics New England,2019,34,2,6,26,8,8,0,source classification,Export-BioMEDeviceBostonElectronicsNewEnglandLeadCapture-2019-05-17.xlsx
biomed-boston,BIOMEDevice Boston / Electronics New England,2022,19,3,4,12,7,19,-12,source classification,All leads for BIOMEDevice Boston.xlsx
biomed-boston,BIOMEDevice Boston / Electronics New England,2024,24,5,11,8,16,18,-2,source classification,XPressLeads_BMDB0924_2507877 (1).xls
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2017,41,5,9,27,14,42,-28,source classification,Biomed San Jose 2017 leads.xlsx
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2018,48,6,10,32,16,23,-7,source classification,Export-BIOMEDeviceSanJose2018-2018-12-07.xlsx
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2019,24,9,9,6,18,18,0,source classification,Spread Sheet from Icapture.xlsx
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2021,26,5,7,14,12,27,-15,AI note review,BioMed Leads final draft.xlsx
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2022,32,9,12,11,21,21,0,source classification,Eloqua ready template - BIOMED Silicon Valley.xlsx
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2024,,,,,,,,,Tradeshow report data.xlsx
biomed-sj,BIOMEDevice San Jose / Silicon Valley,2025,22,4,4,14,8,25,-17,AI note review,MeDevice Leads 11-20-25.xls
compamed,Compamed,2025,56,5,9,42,14,58,-44,source classification,Compamed 2025 Leads.xlsx
designcon,DesignCon,2018,34,10,8,16,18,34,-16,source classification,DesignCon 2018 Leads.xlsx
designcon,DesignCon,2019,48,4,11,33,15,15,0,source classification,DesignCon 2019.xlsx
designcon,DesignCon,2026,43,8,16,19,24,28,-4,source classification,DesignCon Leads.xls
finedef,Finedef,2025,15,,,8,7,,,reference workbook combined Hot + Warm; no split supplied,Tradeshow report data.xlsx
gps,Global Petroleum Show,2017,32,17,5,10,22,32,-10,source classification,GPS 2017 leads.xls
gps,Global Petroleum Show,2018,49,12,15,22,27,49,-22,source classification,GPS 2018 Leads Spread Sheet.xlsx
gps,Global Petroleum Show,2019,49,16,12,21,28,28,0,source classification,Spread Sheet for GPS.xlsx
hannover,Hannover Messe,2017,163,8,35,120,43,163,-120,source classification,Hannover 2017 leads.xls
hannover,Hannover Messe,2018,101,10,29,62,39,101,-62,source classification,Hannover 2018 Leads  .xlsx
hannover,Hannover Messe,2022,56,8,26,22,34,34,0,source show-close rating,Hannover leads - 06-02-22.xlsx
hannover,Hannover Messe,2024,,,,,,,,,Tradeshow report data.xlsx
hannover,Hannover Messe,2025,,,,,,,,,Tradeshow report data.xlsx
ieee,IEEE,2024,22,,,13,9,,,reference workbook combined Hot + Warm; no split supplied,Tradeshow report data.xlsx
mdm-minn,MD&M Minneapolis,2017,22,7,9,6,16,22,-6,source classification,Import Ready MD&M Minneapolis 2017 Leads.xlsx
mdm-minn,MD&M Minneapolis,2018,15,4,7,4,11,19,-8,source classification,MD&M Leads .xlsx
mdm-minn,MD&M Minneapolis,2019,21,4,12,5,16,16,0,source classification,Export-MDMMinneapolis-2019-10-24.xlsx
mdm-minn,MD&M Minneapolis,2022,15,1,6,8,7,7,0,source classification,Eloqua ready template - MD&M.xlsx
mdm-minn,MD&M Minneapolis,2025,13,2,7,4,9,19,-10,AI note review,MD&M Raw Lead Export - 10-23-25.xls
mdm-west,MD&M West,2017,40,12,8,20,20,40,-20,source classification,MD&M West 2017 leads.xls
mdm-west,MD&M West,2018,41,9,5,27,14,41,-27,source classification,MD&M West 2018 leads.xlsx
mdm-west,MD&M West,2019,40,4,8,28,12,12,0,source classification,Export-MDMAnaheim2019-2019-02-08.xlsx
mdm-west,MD&M West,2020,16,4,4,8,8,8,0,source classification,Export-MDMWest2020-2020-02-14.xlsx
mdm-west,MD&M West,2021,14,8,5,1,13,14,-1,AI note review,All Leads for IMEW2021 Consolidated (2).xlsx
mdm-west,MD&M West,2022,28,0,4,24,4,28,-24,source Opportunity tag,imengineeringwest-leads-2022-04-14.xlsx
mdm-west,MD&M West,2023,16,1,9,6,10,10,0,source classification,Eloqua ready template - MD&M WEST.xlsx
mdm-west,MD&M West,2025,,,,,,,,,Tradeshow report data.xlsx
mdm-west,MD&M West,2026,32,13,6,13,19,35,-16,AI note review,MD&M West Sales Leads - 02-06-26.xlsx
mtech-osaka,M-Tech Osaka,2022,144,2,23,119,25,144,-119,source grade,Mtech2022Inquirylist.xlsx
mtech-tokyo,M-Tech Tokyo,2023,113,9,19,85,28,113,-85,source grade,BSE_M-Tech東京2023引合いリスト.xlsx
otc,OTC (Offshore Technology Conference),2017,80,17,23,40,40,80,-40,source classification,OTC 2017 leads.xls
otc,OTC (Offshore Technology Conference),2018,118,12,32,74,44,118,-74,source classification,OTC 2018 leads-export-1525724604217.xls
otc,OTC (Offshore Technology Conference),2019,119,34,30,55,64,64,0,source classification,OTC2019LeadCapture-2019-05-14.xlsx
otc,OTC (Offshore Technology Conference),2022,47,1,15,31,16,37,-21,source show-close rating,otc leads - raw at show close - 05-05-22.xlsx
otc,OTC (Offshore Technology Conference),2023,84,13,31,40,44,44,0,source classification,Eloqua ready template - OTC.xlsx
otc,OTC (Offshore Technology Conference),2024,48,7,25,16,32,32,0,source classification,Eloqua ready template - OTC 2024.xlsx
otc,OTC (Offshore Technology Conference),2025,31,12,7,12,19,33,-14,AI note review,leads-OTC251-2025-05-14.csv
otc,OTC (Offshore Technology Conference),2026,64,8,19,37,27,58,-31,source classification,Raw Lead Export - OTC 2026 - 05-07-26.xlsx
pittcon,Pittcon,2017,44,5,16,23,21,44,-23,source classification,Pittcon 2017 leads.xls
pittcon,Pittcon,2018,44,9,11,24,20,44,-24,source classification,Pittcon Leads 2018.xlsx
pittcon,Pittcon,2019,48,13,17,18,30,48,-18,source classification,Export-PITTCON2019-2019-03-29.csv
pittcon,Pittcon,2020,34,1,15,18,16,16,0,source classification,PITTCON2020LeadCapture-2020-03-09.xlsx
robotics-summit,Robotics Summit & Expo,2022,31,2,8,21,10,33,-23,source classification,"Robotics Summit & Expo  - Raw Leads - 05-11-22, 321p ET.xlsx"
robotics-summit,Robotics Summit & Expo,2023,27,7,10,10,17,17,0,source classification,Eloqua ready template - Robotics Summit.xlsx
robotics-summit,Robotics Summit & Expo,2024,46,7,15,24,22,46,-24,source classification,Leads List.xlsx
robotics-summit,Robotics Summit & Expo,2025,33,8,14,11,22,26,-4,source classification,Robotics Summit Leads List.xlsx
robotics-summit,Robotics Summit & Expo,2026,39,8,18,13,26,26,0,source classification,Robotics Summit & Expo 2026 - Lead Export - 05-29-26.xlsx
slas,SLAS (formerly Lab Automation),2026,15,2,0,13,2,13,-11,source classification,All Scans Lead-Retrieval-Summary - SLAS 2026 - Clean.xlsx
space-tech-expo,Space Tech Expo,2025,14,1,1,12,2,7,-5,source classification,Connections Space Tech Expo USA 2025.xlsx
